number,symbol,r0,r1,r2,r3,r4,r5,r6,r7,r8,t0,t1,t2
71,p-6m2,0,-1,0,1,-1,0,0,0,-1,0,0,0
71,p-6m2,-1,1,0,-1,0,0,0,0,-1,0,0,0
71,p-6m2,0,-1,0,-1,0,0,0,0,1,0,0,0
71,p-6m2,-1,1,0,0,1,0,0,0,1,0,0,0
71,p-6m2,1,0,0,1,-1,0,0,0,1,0,0,0
71,p-6m2,0,-1,0,-1,0,0,0,0,-1,0,0,0
71,p-6m2,-1,1,0,0,1,0,0,0,-1,0,0,0
71,p-6m2,1,0,0,1,-1,0,0,0,-1,0,0,0
72,p-6c2,1,0,0,0,1,0,0,0,1,0,0,0
72,p-6c2,0,-1,0,1,-1,0,0,0,1,0,0,0
72,p-6c2,-1,1,0,-1,0,0,0,0,1,0,0,0
72,p-6c2,1,0,0,0,1,0,0,0,-1,0,0,0
72,p-6c2,0,-1,0,1,-1,0,0,0,-1,0,0,0
72,p-6c2,-1,1,0,-1,0,0,0,0,-1,0,0,0
72,p-6c2,0,-1,0,-1,0,0,0,0,1,0,0,6
72,p-6c2,-1,1,0,0,1,0,0,0,1,0,0,6
72,p-6c2,1,0,0,1,-1,0,0,0,1,0,0,6
72,p-6c2,0,-1,0,-1,0,0,0,0,-1,0,0,6
72,p-6c2,-1,1,0,0,1,0,0,0,-1,0,0,6
72,p-6c2,1,0,0,1,-1,0,0,0,-1,0,0,6
73,p6/mmm,1,0,0,0,1,0,0,0,1,0,0,0
73,p6/mmm,0,-1,0,1,-1,0,0,0,1,0,0,0
73,p6/mmm,-1,1,0,-1,0,0,0,0,1,0,0,0
73,p6/mmm,-1,0,0,0,-1,0,0,0,1,0,0,0
73,p6/mmm,0,1,0,-1,1,0,0,0,1,0,0,0
73,p6/mmm,1,-1,0,1,0,0,0,0,1,0,0,0
73,p6/mmm,0,1,0,1,0,0,0,0,-1,0,0,0
73,p6/mmm,1,-1,0,0,-1,0,0,0,-1,0,0,0
73,p6/mmm,-1,0,0,-1,1,0,0,0,-1,0,0,0
73,p6/mmm,0,-1,0,-1,0,0,0,0,-1,0,0,0
73,p6/mmm,-1,1,0,0,1,0,0,0,-1,0,0,0
73,p6/mmm,1,0,0,1,-1,0,0,0,-1,0,0,0
73,p6/mmm,-1,0,0,0,-1,0,0,0,-1,0,0,0
73,p6/mmm,0,1,0,-1,1,0,0,0,-1,0,0,0
73,p6/mmm,1,-1,0,1,0,0,0,0,-1,0,0,0
73,p6/mmm,1,0,0,0,1,0,0,0,-1,0,0,0
73,p6/mmm,0,-1,0,1,-1,0,0,0,-1,0,0,0
73,p6/mmm,-1,1,0,-1,0,0,0,0,-1,0,0,0
73,p6/mmm,0,-1,0,-1,0,0,0,0,1,0,0,0
73,p6/mmm,-1,1,0,0,1,0,0,0,1,0,0,0
73,p6/mmm,1,0,0,1,-1,0,0,0,1,0,0,0
73,p6/mmm,0,1,0,1,0,0,0,0,1,0,0,0
73,p6/mmm,1,-1,0,0,-1,0,0,0,1,0,0,0
73,p6/mmm,-1,0,0,-1,1,0,0,0,1,0,0,0
74,p6/mcc,1,0,0,0,1,0,0,0,1,0,0,0
74,p6/mcc,0,-1,0,1,-1,0,0,0,1,0,0,0
74,p6/mcc,-1,1,0,-1,0,0,0,0,1,0,0,0
74,p6/mcc,-1,0,0,0,-1,0,0,0,1,0,0,0
74,p6/mcc,0,1,0,-1,1,0,0,0,1,0,0,0
74,p6/mcc,1,-1,0,1,0,0,0,0,1,0,0,0
74,p6/mcc,0,1,0,1,0,0,0,0,-1,0,0,6
74,p6/mcc,1,-1,0,0,-1,0,0,0,-1,0,0,6
74,p6/mcc,-1,0,0,-1,1,0,0,0,-1,0,0,6
74,p6/mcc,0,-1,0,-1,0,0,0,0,-1,0,0,6
74,p6/mcc,-1,1,0,0,1,0,0,0,-1,0,0,6
74,p6/mcc,1,0,0,1,-1,0,0,0,-1,0,0,6
74,p6/mcc,-1,0,0,0,-1,0,0,0,-1,0,0,0
74,p6/mcc,0,1,0,-1,1,0,0,0,-1,0,0,0
74,p6/mcc,1,-1,0,1,0,0,0,0,-1,0,0,0
74,p6/mcc,1,0,0,0,1,0,0,0,-1,0,0,0
74,p6/mcc,0,-1,0,1,-1,0,0,0,-1,0,0,0
74,p6/mcc,-1,1,0,-1,0,0,0,0,-1,0,0,0
74,p6/mcc,0,-1,0,-1,0,0,0,0,1,0,0,6
74,p6/mcc,-1,1,0,0,1,0,0,0,1,0,0,6
74,p6/mcc,1,0,0,1,-1,0,0,0,1,0,0,6
74,p6/mcc,0,1,0,1,0,0,0,0,1,0,0,6
74,p6/mcc,1,-1,0,0,-1,0,0,0,1,0,0,6
74,p6/mcc,-1,0,0,-1,1,0,0,0,1,0,0,6
75,p6/mmc,1,0,0,0,1,0,0,0,1,0,0,0
75,p6/mmc,0,-1,0,1,-1,0,0,0,1,0,0,0
75,p6/mmc,-1,1,0,-1,0,0,0,0,1,0,0,0
75,p6/mmc,-1,0,0,0,-1,0,0,0,1,0,0,6
75,p6/mmc,0,1,0,-1,1,0,0,0,1,0,0,6
75,p6/mmc,1,-1,0,1,0,0,0,0,1,0,0,6
75,p6/mmc,0,1,0,1,0,0,0,0,-1,0,0,0
75,p6/mmc,1,-1,0,0,-1,0,0,0,-1,0,0,0
75,p6/mmc,-1,0,0,-1,1,0,0,0,-1,0,0,0
75,p6/mmc,0,-1,0,-1,0,0,0,0,-1,0,0,6
75,p6/mmc,-1,1,0,0,1,0,0,0,-1,0,0,6
75,p6/mmc,1,0,0,1,-1,0,0,0,-1,0,0,6
75,p6/mmc,-1,0,0,0,-1,0,0,0,-1,0,0,0
75,p6/mmc,0,1,0,-1,1,0,0,0,-1,0,0,0
75,p6/mmc,1,-1,0,1,0,0,0,0,-1,0,0,0
75,p6/mmc,1,0,0,0,1,0,0,0,-1,0,0,6
75,p6/mmc,0,-1,0,1,-1,0,0,0,-1,0,0,6
75,p6/mmc,-1,1,0,-1,0,0,0,0,-1,0,0,6
75,p6/mmc,0,-1,0,-1,0,0,0,0,1,0,0,0
75,p6/mmc,-1,1,0,0,1,0,0,0,1,0,0,0
75,p6/mmc,1,0,0,1,-1,0,0,0,1,0,0,0
75,p6/mmc,0,1,0,1,0,0,0,0,1,0,0,6
75,p6/mmc,1,-1,0,0,-1,0,0,0,1,0,0,6
75,p6/mmc,-1,0,0,-1,1,0,0,0,1,0,0,6
